Título,¿Aprueba?,Año,Dirección,Guionista(s),década
Valiant,No,2005,Director,Hombre,2000s
Wallace & Gromit. La maldición de las verduras,No,2005,Director,Hombre,2000s
"Ant Bully, bienvenido al hormiguero",No,2006,Director,Hombre,2000s
Cars,No,2006,Director,Mixto,2000s
Colegas en el bosque,No,2006,Director,Hombre,2000s
"El corral, una fiesta muy bestia",Sí,2006,Director,Hombre,2000s
Happy Feet: Rompiendo el hielo,Sí,2006,Director,Mixto,2000s
Ice Age 2: El deshielo,No,2006,Director,Hombre,2000s
Monster House,Sí,2006,Director,Mixto,2000s
Ratónpolis,No,2006,Director,Hombre,2000s
Bee Movie,No,2007,Director,Hombre,2000s
Beowulf,Sí,2007,Director,Hombre,2000s
Descubriendo a los Robinsons,No,2007,Director,Mujer,2000s
Locos por el surf,No,2007,Director,Hombre,2000s
Los Simpson: La película,Sí,2007,Director,Hombre,2000s
Ratatouille,No,2007,Director,Hombre,2000s
Shrek Tercero,Sí,2007,Director,Hombre,2000s
Tortugas Ninja jóvenes mutantes,No,2007,Director,Hombre,2000s
Bolt,Sí,2008,Director,Hombre,2000s
El valiente Despereaux,Sí,2008,Director,Hombre,2000s
Horton,No,2008,Director,Hombre,2000s
Igor,No,2008,Director,Hombre,2000s
Kung Fu Panda,No,2008,Director,Hombre,2000s
Madagascar 2,No,2008,Director,Hombre,2000s
Star Wars: The Clone Wars,No,2008,Director,Hombre,2000s
Cuento de Navidad,No,2009,Director,Hombre,2000s
Fantástico Sr. Fox,No,2009,Director,Mixto,2000s
G-Force: Licencia para espiar,No,2009,Director,Mixto,2000s
Ice Age 3: El origen de los dinosaurios,No,2009,Director,Hombre,2000s
Lluvia de albóndigas,No,2009,Director,Hombre,2000s
Los mundos de Coraline,Sí,2009,Director,Hombre,2000s
Número 9,No,2009,Director,Mixto,2000s
Planet 51 (Planeta 51),No,2009,Director,Hombre,2000s
Tiana y el sapo,Sí,2009,Director,Hombre,2000s
Up,No,2009,Director,Hombre,2000s
Cómo entrenar a tu dragón,Sí,2010,Director,Hombre,2010s
Enredados,Sí,2010,Director,Hombre,2010s
"Gru, mi villano favorito",Sí,2010,Director,Hombre,2010s
Megamind,No,2010,Director,Hombre,2010s
"Shrek, felices para siempre",No,2010,Director,Hombre,2010s
Toy Story 3,Sí,2010,Director,Hombre,2010s
Arthur Christmas: Operación Regalo,No,2011,Mixto,Mixto,2010s
Cars 2,No,2011,Director,Hombre,2010s
El gato con botas,No,2011,Director,Hombre,2010s
Kung Fu Panda 2,Sí,2011,Directora,Hombre,2010s
Las aventuras de Tintín: El secreto del unicornio,No,2011,Director,Hombre,2010s
Rango,No,2011,Director,Hombre,2010s
Río,No,2011,Director,Hombre,2010s
¡Piratas!,No,2012,Director,Hombre,2010s
¡Rompe Ralph!,Sí,2012,Director,Hombre,2010s
Brave,Sí,2012,Mixto,Mixto,2010s
El alucinante mundo de Norman,Sí,2012,Director,Hombre,2010s
El origen de los guardianes,No,2012,Director,Hombre,2010s
Frankenweenie,No,2012,Director,Hombre,2010s
Hotel Transilvania,Sí,2012,Director,Hombre,2010s
Ice Age 4: La formación de los continentes,No,2012,Director,Hombre,2010s
Lorax. En busca de la trúfula perdida,No,2012,Director,Hombre,2010s
Madagascar 3: De marcha por Europa,No,2012,Director,Mixto,2010s
Aviones,No,2013,Director,Hombre,2010s
Epic. El mundo secreto,Sí,2013,Director,Hombre,2010s
Frozen,Sí,2013,Mixto,Mujer,2010s
Gru 2: Mi villano favorito,Sí,2013,Director,Hombre,2010s
Lluvia de albóndigas 2,Sí,2013,Director,Hombre,2010s
Los Croods. Una aventura prehistórica,Sí,2013,Director,Hombre,2010s
Monstruos University,No,2013,Director,Hombre,2010s
Operación escape,Sí,2013,Director,Hombre,2010s
Aviones: Equipo de rescate (Aviones 2),No,2014,Director,Hombre,2010s
Cómo entrenar a tu dragón 2,No,2014,Director,Hombre,2010s
El libro de la vida,Sí,2014,Director,Hombre,2010s
La LEGO película,Sí,2014,Director,Hombre,2010s
Las aventuras de Peabody y Sherman,No,2014,Director,Hombre,2010s
Los Boxtrolls,No,2014,Director,,2010s
Los pingüinos de Madagascar,No,2014,Director,Hombre,2010s
Río 2,Sí,2014,Director,Hombre,2010s
Bob Esponja: Un héroe fuera del agua,No,2015,Director,Hombre,2010s
Carlitos y Snoopy: La película de Peanuts,Sí,2015,Director,Hombre,2010s
Del revés (Inside Out),Sí,2015,Director,Mixto,2010s
El viaje de Arlo,Sí,2015,Director,Mujer,2010s
Home: Hogar dulce hogar,Sí,2015,Director,Hombre,2010s
Hotel Transilvania 2,Sí,2015,Director,Hombre,2010s
Minions,Sí,2015,Director,Hombre,2010s
Angry Birds: La película,No,2016,Director,Hombre,2010s
Buscando a Dory,Sí,2016,Director,Mixto,2010s
Cigüeñas,No,2016,Director,Hombre,2010s
Kubo y las dos cuerdas mágicas,No,2016,Director,Hombre,2010s
Kung Fu Panda 3,Sí,2016,Mixto,Hombre,2010s
La fiesta de las salchichas,Sí,2016,Director,Hombre,2010s
Mascotas,No,2016,Director,Hombre,2010s
Trolls,Sí,2016,Director,Mujer,2010s
Vaiana,Sí,2016,Director,,2010s
Zootrópolis,Sí,2016,Director,Hombre,2010s
"Capitán Calzoncillos, su primer peliculón",No,2017,Director,Hombre,2010s
Coco,Sí,2017,Director,Hombre,2010s
El bebé jefazo,No,2017,Director,Hombre,2010s
Emoji: La película,No,2017,Director,Hombre,2010s
Gru 3: Mi villano favorito,Sí,2017,Director,Hombre,2010s
Isla de perros,Sí,2018,Director,Hombre,2010s
Los Increíbles 2,Sí,2018,Director,Hombre,2010s
Peter Rabbit,No,2018,Director,Hombre,2010s
Ralph rompe Internet,Sí,2018,Director,Mixto,2010s
Smallfoot,Sí,2018,Director,Mixto,2010s
Spider-Man: Un nuevo universo,No,2018,Director,Mixto,2010s
Abominable,Sí,2019,Director,Hombre,2010s
El parque mágico,Sí,2019,Director,,2010s
El Rey León (2019),Sí,2019,Director,Hombre,2010s
El tiempo contigo,Sí,2019,Director,Hombre,2010s
Espías con disfraz,Sí,2019,Director,Hombre,2010s
Frozen 2,Sí,2019,Mixto,Mujer,2010s
La familia Addams,Sí,2019,Director,Mixto,2010s
La LEGO película 2,Sí,2019,Mixto,Hombre,2010s
My Hero Academia: El despertar de los héroes,Sí,2019,Director,Hombre,2010s
Toy Story 4,Sí,2019,Director,Mixto,2010s
Guardianes de la noche: Tren infinito,No,2020,Director,Hombre,2020s
Jiang Ziya,No,2020,Director,Hombre,2020s
Los Croods: Una nueva era,Sí,2020,Director,Hombre,2020s
Onward,Sí,2020,Director,Hombre,2020s
"Phineas y Ferb, la película: Candace contra el Universo",Sí,2020,Director,Mixto,2020s
"Sonic, la película",Sí,2020,Director,Hombre,2020s
Soul,Sí,2020,Director,Hombre,2020s
Trolls 2: Gira mundial,Sí,2020,Director,Hombre,2020s
¡Canta! 2,No,2021,Director,Hombre,2020s
Encanto,Sí,2021,Mixto,Mixto,2020s
Raya y el último dragón,Sí,2021,Director,Mixto,2020s
Space Jam: Nuevas leyendas,Sí,2021,Director,Hombre,2020s
Red,Sí,2022,Directora,Mujer,2020s
