Título,¿Aprueba?,Año,Dirección,Guionista(s)
"Ant Bully, bienvenido al hormiguero",No,2006,Director,Hombre
Cars,No,2006,Director,Mixto
Colegas en el bosque,No,2006,Director,Hombre
"El corral, una fiesta muy bestia",Sí,2006,Director,Hombre
Happy Feet: Rompiendo el hielo,Sí,2006,Director,Mixto
Ice Age 2: El deshielo,No,2006,Director,Hombre
Monster House,Sí,2006,Director,Mixto
Ratónpolis,No,2006,Director,Hombre
Bee Movie,No,2007,Director,Hombre
Beowulf,Sí,2007,Director,Hombre
Descubriendo a los Robinsons,No,2007,Director,Mujer
Locos por el surf,No,2007,Director,Hombre
Los Simpson: La película,Sí,2007,Director,Hombre
Ratatouille,No,2007,Director,Hombre
Shrek Tercero,Sí,2007,Director,Hombre
Tortugas Ninja jóvenes mutantes,No,2007,Director,Hombre
Bolt,Sí,2008,Director,Hombre
El valiente Despereaux,Sí,2008,Director,Hombre
Horton,No,2008,Director,Hombre
Igor,No,2008,Director,Hombre
Kung Fu Panda,No,2008,Director,Hombre
Madagascar 2,No,2008,Director,Hombre
Star Wars: The Clone Wars,No,2008,Director,Hombre
Cuento de Navidad,No,2009,Director,Hombre
Fantástico Sr. Fox,No,2009,Director,Mixto
G-Force: Licencia para espiar,No,2009,Director,Mixto
Ice Age 3: El origen de los dinosaurios,No,2009,Director,Hombre
Lluvia de albóndigas,No,2009,Director,Hombre
Los mundos de Coraline,Sí,2009,Director,Hombre
Número 9,No,2009,Director,Mixto
Planet 51 (Planeta 51),No,2009,Director,Hombre
Tiana y el sapo,Sí,2009,Director,Hombre
Up,No,2009,Director,Hombre
Cómo entrenar a tu dragón,Sí,2010,Director,Hombre
Enredados,Sí,2010,Director,Hombre
"Gru, mi villano favorito",Sí,2010,Director,Hombre
Megamind,No,2010,Director,Hombre
"Shrek, felices para siempre",No,2010,Director,Hombre
Toy Story 3,Sí,2010,Director,Hombre
Arthur Christmas: Operación Regalo,No,2011,Mixto,Mixto
Cars 2,No,2011,Director,Hombre
El gato con botas,No,2011,Director,Hombre
Kung Fu Panda 2,Sí,2011,Directora,Hombre
Las aventuras de Tintín: El secreto del unicornio,No,2011,Director,Hombre
Rango,No,2011,Director,Hombre
Río,No,2011,Director,Hombre
¡Piratas!,No,2012,Director,Hombre
¡Rompe Ralph!,Sí,2012,Director,Hombre
Brave,Sí,2012,Mixto,Mixto
El alucinante mundo de Norman,Sí,2012,Director,Hombre
El origen de los guardianes,No,2012,Director,Hombre
Frankenweenie,No,2012,Director,Hombre
Hotel Transilvania,Sí,2012,Director,Hombre
Ice Age 4: La formación de los continentes,No,2012,Director,Hombre
Lorax. En busca de la trúfula perdida,No,2012,Director,Hombre
Madagascar 3: De marcha por Europa,No,2012,Director,Mixto
Aviones,No,2013,Director,Hombre
Epic. El mundo secreto,Sí,2013,Director,Hombre
Frozen,Sí,2013,Mixto,Mujer
Gru 2: Mi villano favorito,Sí,2013,Director,Hombre
Lluvia de albóndigas 2,Sí,2013,Director,Hombre
Los Croods. Una aventura prehistórica,Sí,2013,Director,Hombre
Monstruos University,No,2013,Director,Hombre
Operación escape,Sí,2013,Director,Hombre
Aviones: Equipo de rescate (Aviones 2),No,2014,Director,Hombre
Cómo entrenar a tu dragón 2,No,2014,Director,Hombre
El libro de la vida,Sí,2014,Director,Hombre
La LEGO película,Sí,2014,Director,Hombre
Las aventuras de Peabody y Sherman,No,2014,Director,Hombre
Los Boxtrolls,No,2014,Director,
Los pingüinos de Madagascar,No,2014,Director,Hombre
Río 2,Sí,2014,Director,Hombre
Bob Esponja: Un héroe fuera del agua,No,2015,Director,Hombre
