title,year,rating,dubious,imdbid,id,década,title
"Day of the Triffids, The",1962,3,0.0,55894,1613,1960s,The Day of the Triffids
"Manchurian Candidate, The",1962,1,0.0,56218,1954,1960s,The Manchurian Candidate
"Trial, The",1962,1,0.0,57427,2183,1960s,The Trial
"Music Man, The",1962,3,0.0,56262,2430,1960s,The Music Man
Carnival of Souls,1962,3,0.0,55830,2591,1960s,Carnival of Souls
Cleo from 5 to 7,1962,3,0.0,55852,2609,1960s,Cleo from 5 to 7
"Brain That Wouldn&#39;t Die, The",1962,2,0.0,52646,2762,1960s,The Brain That Wouldn&#39;t Die
Gypsy,1962,3,0.0,56048,3079,1960s,Gypsy
"Trial of Joan of Arc, The",1962,0,0.0,59616,3160,1960s,The Trial of Joan of Arc
"L-Shaped Room, The",1962,3,0.0,57239,3829,1960s,The L-Shaped Room
La Jetee,1962,0,0.0,56119,3845,1960s,La Jetee
"Devil&#39;s Hand, The",1962,2,0.0,55902,4407,1960s,The Devil&#39;s Hand
Les dimanches de Ville d&#39;Avray,1962,3,0.0,55910,4481,1960s,Les dimanches de Ville d&#39;Avray
That Touch of Mink,1962,2,0.0,56575,4513,1960s,That Touch of Mink
Dr. No,1962,1,0.0,55928,4637,1960s,Dr. No
"Miracle Worker, The",1962,3,0.0,56241,5686,1960s,The Miracle Worker
King Kong vs. Godzilla,1962,3,0.0,56142,6119,1960s,King Kong vs. Godzilla
Hatari!,1962,3,1.0,56059,6332,1960s,Hatari!
"Loneliness of the Long Distance Runner, The",1962,3,1.0,56194,6516,1960s,The Loneliness of the Long Distance Runner
Boccaccio &acute;70,1962,2,0.0,55805,7120,1960s,Boccaccio &acute;70
Advise &amp; Consent,1962,3,0.0,55728,7159,1960s,Advise &amp; Consent
War of the Buttons,1962,0,0.0,54949,7312,1960s,War of the Buttons
Cartouche,1962,1,0.0,55832,7440,1960s,Cartouche
Atraco a las tres,1962,1,0.0,55763,7588,1960s,Atraco a las tres
Walk on the Wild Side,1962,3,0.0,56671,8673,1960s,Walk on the Wild Side
Vivre Sa Vie,1962,3,0.0,56663,8849,1960s,Vivre Sa Vie
"Longest Day, The",1962,0,0.0,56197,9106,1960s,The Longest Day
"Treasure of the Silver Lake, The",1962,1,0.0,56452,9690,1960s,The Treasure of the Silver Lake
Antoine and Colette,1962,0,0.0,1180329,9920,1960s,Antoine and Colette
Hara-Kiri,1962,0,0.0,56058,9818,1960s,Hara-Kiri
"Great Escape, The",1963,0,,57115,202,1960s,The Great Escape
Irma la Douce,1963,2,0.0,57187,607,1960s,Irma la Douce
"Pink Panther, The",1963,1,0.0,57413,629,1960s,The Pink Panther
55 Days at Peking,1963,1,0.0,56800,1251,1960s,55 Days at Peking
"Bakery Girl of Monceau, The",1963,1,0.0,56884,1635,1960s,The Bakery Girl of Monceau
Charade,1963,2,0.0,56923,1984,1960s,Charade
Lord of the Flies,1963,0,0.0,57261,1990,1960s,Lord of the Flies
Shock Corridor,1963,0,0.0,57495,2102,1960s,Shock Corridor
"Birds, The",1963,3,0.0,56869,2345,1960s,The Birds
Beach Party,1963,2,0.0,56860,2549,1960s,Beach Party
Carry on Cabby,1963,3,0.0,56912,2772,1960s,Carry on Cabby
Contempt,1963,1,0.0,57345,3382,1960s,Contempt
Bye Bye Birdie,1963,3,0.0,56891,3725,1960s,Bye Bye Birdie
"Sword in the Stone, The",1963,0,0.0,57546,3810,1960s,The Sword in the Stone
Khaneh siah ast (The House is Black),1963,0,0.0,336693,3939,1960s,Khaneh siah ast (The House is Black)
"Haunting, The",1963,3,0.0,57129,4206,1960s,The Haunting
"Kiss of the Vampire, The",1963,2,1.0,57226,4331,1960s,The Kiss of the Vampire
Summer Magic,1963,3,0.0,57542,4347,1960s,Summer Magic
Dementia 13,1963,3,0.0,56983,4394,1960s,Dementia 13
Tom Jones,1963,3,0.0,57590,4494,1960s,Tom Jones
From Russia with Love,1963,3,0.0,57076,4659,1960s,From Russia with Love
X: The Man with the X-Ray Eyes,1963,1,0.0,57693,4951,1960s,X: The Man with the X-Ray Eyes
"Move Over, Darling",1963,3,0.0,57329,5230,1960s,"Move Over, Darling"
"Silence, The",1963,3,0.0,57611,5379,1960s,The Silence
"Raven, The",1963,1,0.0,57449,5712,1960s,The Raven
"Guest, The",1963,0,0.0,58164,5772,1960s,The Guest
8&frac12;,1963,3,0.0,56801,5846,1960s,8&frac12;
Sanjuro,1963,3,1.0,56443,6044,1960s,Sanjuro
El verdugo,1963,1,0.0,57643,6327,1960s,El verdugo
Atragon,1963,0,0.0,57215,6460,1960s,Atragon
Summer Holiday,1963,3,0.0,57541,6514,1960s,Summer Holiday
"Servant, The",1963,3,1.0,57490,6988,1960s,The Servant
Suzanne&#39;s Career,1963,3,0.0,56910,7925,1960s,Suzanne&#39;s Career
Winter Light,1963,1,0.0,57358,7969,1960s,Winter Light
"Incredible Journey, The",1963,1,0.0,57180,8440,1960s,The Incredible Journey
Unearthly Stranger,1963,1,0.0,57623,8648,1960s,Unearthly Stranger
It&#39;s a Mad Mad Mad Mad World,1963,3,0.0,57193,9226,1960s,It&#39;s a Mad Mad Mad Mad World
Cleopatra,1963,3,0.0,56937,9388,1960s,Cleopatra
Winnetou,1963,1,0.0,57687,9686,1960s,Winnetou
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,0,,57012,341,1960s,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Per un pugno di dollari (A Fisful of Dollars),1964,1,0.0,58461,661,1960s,Per un pugno di dollari (A Fisful of Dollars)
Mary Poppins,1964,3,0.0,58331,701,1960s,Mary Poppins
"Rudolph, the Red-Nosed Reindeer",1964,1,0.0,58536,1600,1960s,"Rudolph, the Red-Nosed Reindeer"
Der Geteilte Himmel (Divided Heaven),1964,2,0.0,58139,1198,1960s,Der Geteilte Himmel (Divided Heaven)
Woman in the Dunes,1964,0,0.0,58625,1212,1960s,Woman in the Dunes
Bedtime Story,1964,1,0.0,57878,1250,1960s,Bedtime Story
First Men in the Moon,1964,1,0.0,58100,1253,1960s,First Men in the Moon
"Long Ships, The",1964,1,0.0,57259,1254,1960s,The Long Ships
My Fair Lady,1964,3,0.0,58385,1688,1960s,My Fair Lady
A Hard Day&#39;s Night,1964,1,0.0,58182,1957,1960s,A Hard Day&#39;s Night
Band of Outsiders,1964,3,0.0,57869,2204,1960s,Band of Outsiders
"Americanization of Emily, The",1964,2,0.0,57840,2385,1960s,The Americanization of Emily
Zulu,1964,0,0.0,58777,2483,1960s,Zulu
Bikini Beach,1964,2,0.0,57887,2557,1960s,Bikini Beach
Man&#39;s Favorite Sport?,1964,2,0.0,58324,2720,1960s,Man&#39;s Favorite Sport?
Marriage Italian Style,1964,3,0.0,58335,2766,1960s,Marriage Italian Style
"Hush...Hush, Sweet Charlotte",1964,3,0.0,58213,2922,1960s,"Hush...Hush, Sweet Charlotte"
"Gospel According to St. Matthew, The",1964,1,0.0,58715,3189,1960s,The Gospel According to St. Matthew
King &amp; Country,1964,0,0.0,58263,3250,1960s,King &amp; Country
Onibaba,1964,0,0.0,58430,3327,1960s,Onibaba
Fail-Safe,1964,1,0.0,58083,3569,1960s,Fail-Safe
Viva Las Vegas,1964,0,0.0,58725,3680,1960s,Viva Las Vegas
Goldfinger,1964,1,0.0,58150,3807,1960s,Goldfinger
Dead Ringer,1964,3,0.0,57997,4263,1960s,Dead Ringer
"Umbrellas of Cherbourg, The",1964,3,0.0,58450,4356,1960s,The Umbrellas of Cherbourg
"Last Man on Earth, The",1964,1,0.0,58700,4376,1960s,The Last Man on Earth
Code Name: Tiger,1964,3,0.0,58658,4484,1960s,Code Name: Tiger
"Train, The",1964,1,0.0,59825,4497,1960s,The Train
"Ghidorah, the Three-Headed Monster",1964,3,0.0,58544,4501,1960s,"Ghidorah, the Three-Headed Monster"
Carry On Cleo,1964,1,0.0,57918,4673,1960s,Carry On Cleo
"Unsinkable Molly Brown, The",1964,3,0.0,58708,5513,1960s,The Unsinkable Molly Brown
Red Desert,1964,3,0.0,58003,6112,1960s,Red Desert
Godzilla vs. The Thing (Mothra vs. Godzilla),1964,1,1.0,58379,6326,1960s,Godzilla vs. The Thing (Mothra vs. Godzilla)
Marnie,1964,3,0.0,58329,6402,1960s,Marnie
A shot in the dark,1964,1,0.0,58586,6555,1960s,A shot in the dark
"Chalk Garden, The",1964,3,0.0,57933,7202,1960s,The Chalk Garden
Nikutai no mon [Gate of Flesh],1964,3,0.0,58409,7236,1960s,Nikutai no mon [Gate of Flesh]
La tia Tula,1964,3,0.0,58695,7399,1960s,La tia Tula
Seduced and abandoned,1964,3,0.0,58564,7804,1960s,Seduced and abandoned
"Time Travelers, The",1964,2,0.0,58659,7991,1960s,The Time Travelers
Old Shatterhand,1964,1,0.0,57380,9689,1960s,Old Shatterhand
Winnetou: The Red Gentleman,1964,1,0.0,58751,9692,1960s,Winnetou: The Red Gentleman
Amongst Vultures,1964,0,0.0,58709,9695,1960s,Amongst Vultures
"Yellow One, The",1964,1,0.0,58553,9697,1960s,The Yellow One
"Sound of Music, The",1965,3,0.0,59742,601,1960s,The Sound of Music
Gulliver&#39;s Travels Beyond the Moon,1965,0,0.0,59212,2075,1960s,Gulliver&#39;s Travels Beyond the Moon
Juliet of the Spirits,1965,3,1.0,59229,2186,1960s,Juliet of the Spirits
Repulsion,1965,3,0.0,59646,2338,1960s,Repulsion
A Study in Terror,1965,3,1.0,59764,2389,1960s,A Study in Terror
Thunderball,1965,2,0.0,59800,2390,1960s,Thunderball
That Darn Cat!,1965,3,0.0,59793,2487,1960s,That Darn Cat!
"Ipcress File, The",1965,1,0.0,59319,2569,1960s,The Ipcress File
Alphaville,1965,1,0.0,58898,3116,1960s,Alphaville
For a Few Dollars More,1965,0,0.0,59578,3413,1960s,For a Few Dollars More
"Flight of the Phoenix, The",1965,0,0.0,59183,3432,1960s,The Flight of the Phoenix
Viva Maria!,1965,3,0.0,59956,3475,1960s,Viva Maria!
Inside Daisy Clover,1965,3,0.0,59314,3543,1960s,Inside Daisy Clover
Darling,1965,3,0.0,59084,3623,1960s,Darling
"Faster, Pussycat! Kill! Kill!",1965,3,0.0,59170,3649,1960s,"Faster, Pussycat! Kill! Kill!"
"Pleasure Girls, The",1965,3,0.0,59607,3828,1960s,The Pleasure Girls
Doctor Zhivago,1965,1,0.0,59113,5884,1960s,Doctor Zhivago
Bunny Lake Is Missing,1965,3,0.0,58997,5960,1960s,Bunny Lake Is Missing
Invasion of Astro-Monster,1965,2,0.0,59346,6346,1960s,Invasion of Astro-Monster
Daikaiju Gamera,1965,2,0.0,59080,6428,1960s,Daikaiju Gamera
Frankenstein Conquers the World,1965,1,0.0,59205,6652,1960s,Frankenstein Conquers the World
Kapurush,1965,0,0.0,59348,6899,1960s,Kapurush
Devils of Darkness,1965,3,0.0,59100,7109,1960s,Devils of Darkness
Mne dvadtsat let (I am twenty),1965,3,0.0,58361,8189,1960s,Mne dvadtsat let (I am twenty)
How to Murder Your Wife,1965,0,0.0,58212,8204,1960s,How to Murder Your Wife
A Patch of Blue,1965,3,0.0,59573,8694,1960s,A Patch of Blue
"Railrodder, The",1965,0,0.0,59631,9157,1960s,The Railrodder
"Oil Prince, The",1965,1,0.0,59958,9687,1960s,The Oil Prince
Winnetou: The Last Shot,1965,0,0.0,59915,9691,1960s,Winnetou: The Last Shot
Old Surehand,1965,1,0.0,59538,9696,1960s,Old Surehand
Pyramid of the Sun God,1965,1,0.0,59621,9698,1960s,Pyramid of the Sun God
Treasure of the Aztecs,1965,1,0.0,59682,9699,1960s,Treasure of the Aztecs
Red Beard,1965,3,0.0,58888,9820,1960s,Red Beard
"Knack... and How to Get It, The",1965,0,0.0,59362,10001,1960s,The Knack... and How to Get It
Persona,1966,3,0.0,60827,589,1960s,Persona
La battaglia di Algeri,1966,1,0.0,58946,658,1960s,La battaglia di Algeri
"Good, the Bad and the Ugly, The",1966,1,0.0,60196,1725,1960s,"The Good, the Bad and the Ugly"
Daisies,1966,3,0.0,60959,2069,1960s,Daisies
Alfie,1966,1,0.0,60086,2140,1960s,Alfie
End of August at the Hotel Ozone,1966,3,0.0,61879,2308,1960s,End of August at the Hotel Ozone
"Trouble with Angels, The",1966,3,0.0,61122,2582,1960s,The Trouble with Angels
Fantastic Voyage,1966,0,0.0,60397,2625,1960s,Fantastic Voyage
Blow-Up,1966,0,0.0,60176,2626,1960s,Blow-Up
A Big Hand for the Little Lady,1966,1,0.0,60165,2696,1960s,A Big Hand for the Little Lady
"Group, The",1966,3,0.0,60479,2701,1960s,The Group
Who&#39;s Afraid of Virginia Woolf?,1966,1,0.0,61184,2798,1960s,Who&#39;s Afraid of Virginia Woolf?
Jesse James Meets Frankenstein&#39;s Daughter,1966,1,0.0,60558,2804,1960s,Jesse James Meets Frankenstein&#39;s Daughter
"Fortune Cookie, The",1966,1,0.0,60424,2838,1960s,The Fortune Cookie
Our Man Flint,1966,2,0.0,59557,2845,1960s,Our Man Flint
Cathy Come Home,1966,3,0.0,59020,2855,1960s,Cathy Come Home
Fahrenheit 451,1966,3,0.0,60390,3087,1960s,Fahrenheit 451
"Sand Pebbles, The",1966,1,0.0,60934,3092,1960s,The Sand Pebbles
Georgy Girl,1966,3,1.0,60453,3143,1960s,Georgy Girl
A Man for All Seasons,1966,1,0.0,60665,3576,1960s,A Man for All Seasons
Django,1966,0,0.0,60315,3671,1960s,Django
Andrei Rublev,1966,1,0.0,60107,3706,1960s,Andrei Rublev
Blood Bath,1966,2,0.0,60174,4057,1960s,Blood Bath
L&#39;armata Brancaleone,1966,1,0.0,60125,4575,1960s,L&#39;armata Brancaleone
How to Steal a Million,1966,0,0.0,60522,4862,1960s,How to Steal a Million
Torn Curtain,1966,3,1.0,61107,5391,1960s,Torn Curtain
"Godzilla vs. the Sea Monster (Ebirah, Horror of the Deep)",1966,1,0.0,60464,6362,1960s,"Godzilla vs. the Sea Monster (Ebirah, Horror of the Deep)"
Daimajin,1966,1,0.0,62851,6433,1960s,Daimajin
Return of Daimajin,1966,0,0.0,62852,6471,1960s,Return of Daimajin
Wrath of Daimajin,1966,0,0.0,62853,6541,1960s,Wrath of Daimajin
Daikaiju ketto: Gamera tai Barugon,1966,0,0.0,60446,6659,1960s,Daikaiju ketto: Gamera tai Barugon
Black Girl,1966,3,0.0,60758,6897,1960s,Black Girl
Death Rides a Horse,1966,0,0.0,64208,6910,1960s,Death Rides a Horse
One Million Years B.C.,1966,1,0.0,60782,7021,1960s,One Million Years B.C.
"Plague of the Zombies, The",1966,3,1.0,60841,7030,1960s,The Plague of the Zombies
Dracula: Prince of Darkness,1966,1,0.0,59127,7033,1960s,Dracula: Prince of Darkness
Tokyo Drifter,1966,1,0.0,61101,7239,1960s,Tokyo Drifter
La caza,1966,0,0.0,60223,7415,1960s,La caza
Manos: The Hands of Fate,1966,3,1.0,60666,9419,1960s,Manos: The Hands of Fate
Lost Command,1966,1,0.0,60637,9426,1960s,Lost Command
"Who Are You, Polly Maggoo?",1966,1,0.0,60879,9468,1960s,"Who Are You, Polly Maggoo?"
El Dorado,1966,1,0.0,61619,9577,1960s,El Dorado
Winnetou and the Crossbreed,1966,1,0.0,61197,9688,1960s,Winnetou and the Crossbreed
Winnetou und sein Freund Old Firehand,1966,1,0.0,61198,9694,1960s,Winnetou und sein Freund Old Firehand
Saraswathi Sabatham,1966,2,0.0,246913,9956,1960s,Saraswathi Sabatham
Cool Hand Luke,1967,1,,61512,301,1960s,Cool Hand Luke
"Jungle Book, The",1967,1,0.0,61852,493,1960s,The Jungle Book
"Graduate, The",1967,2,0.0,61722,616,1960s,The Graduate
Marketa Lazarova,1967,1,0.0,63278,2054,1960s,Marketa Lazarova
Bonnie and Clyde,1967,3,0.0,61418,2083,1960s,Bonnie and Clyde
You Only Live Twice,1967,1,0.0,62512,2400,1960s,You Only Live Twice
Thoroughly Modern Millie,1967,3,0.0,62362,2431,1960s,Thoroughly Modern Millie
Casino Royale,1967,2,0.0,61452,2664,1960s,Casino Royale
I Am Curious (Yellow),1967,3,0.0,61834,2829,1960s,I Am Curious (Yellow)
Elvira Madigan,1967,0,0.0,61620,2928,1960s,Elvira Madigan
"Dirty Dozen, The",1967,0,1.0,61578,2966,1960s,The Dirty Dozen
Valley of the Dolls,1967,3,0.0,62430,3070,1960s,Valley of the Dolls
Belle de Jour,1967,3,0.0,61395,3085,1960s,Belle de Jour
In the Heat of the Night,1967,1,0.0,61811,3241,1960s,In the Heat of the Night
Bedazzled,1967,3,0.0,61391,3500,1960s,Bedazzled
Two for the Road,1967,3,0.0,62407,3596,1960s,Two for the Road
Wait Until Dark,1967,3,0.0,62467,3597,1960s,Wait Until Dark
Berserk,1967,3,0.0,61398,3712,1960s,Berserk
"Fearless Vampire Killers, The",1967,1,0.0,61655,4316,1960s,The Fearless Vampire Killers
Le Samourai,1967,1,0.0,62229,4146,1960s,Le Samourai
La collectionneuse,1967,1,0.0,61495,4479,1960s,La collectionneuse
Playtime,1967,3,0.0,62136,4519,1960s,Playtime
"Fox, The",1967,3,0.0,62990,4722,1960s,The Fox
Asterix the Gaul (Asterix le Gaulois),1967,0,0.0,61369,4937,1960s,Asterix the Gaul (Asterix le Gaulois)
Woman Times Seven,1967,3,0.0,62502,5171,1960s,Woman Times Seven
Guess Who&#39;s Coming to Dinner,1967,3,1.0,61735,5222,1960s,Guess Who&#39;s Coming to Dinner
Smashing Time,1967,3,0.0,62281,5384,1960s,Smashing Time
Son of Godzilla,1967,0,0.0,61856,6374,1960s,Son of Godzilla
Uchu daikaiju Girara,1967,3,0.0,62411,6714,1960s,Uchu daikaiju Girara
Daikaiju kuchusen: Gamera tai Gyaosu,1967,0,0.0,61695,6744,1960s,Daikaiju kuchusen: Gamera tai Gyaosu
Koroshi no rakuin [Branded to Kill],1967,1,0.0,61882,7242,1960s,Koroshi no rakuin [Branded to Kill]
Peppermint Frappe,1967,1,0.0,62113,7513,1960s,Peppermint Frappe
"Young Girls of Rochefort, The",1967,3,0.0,62873,7586,1960s,The Young Girls of Rochefort
Barefoot in the Park,1967,3,0.0,61385,7943,1960s,Barefoot in the Park
A Time for Killing,1967,0,0.0,62373,8633,1960s,A Time for Killing
A Countess from Hong Kong,1967,3,0.0,61523,9078,1960s,A Countess from Hong Kong
Accident,1967,1,0.0,61328,9124,1960s,Accident
God Forgives... I Don&#39;t!,1967,0,0.0,61576,9555,1960s,God Forgives... I Don&#39;t!
"Django Kill... If You Live, Shoot!",1967,0,0.0,62082,9709,1960s,"Django Kill... If You Live, Shoot!"
Taiyo no oji: Horusu no daiboken,1968,0,,63668,323,1960s,Taiyo no oji: Horusu no daiboken
Planet of the Apes,1968,1,0.0,63442,599,1960s,Planet of the Apes
Charly,1968,2,0.0,62794,764,1960s,Charly
"Producers, The",1968,0,0.0,63462,844,1960s,The Producers
Rosemary&#39;s Baby,1968,3,0.0,63522,857,1960s,Rosemary&#39;s Baby
2001: A Space Odyssey,1968,0,0.0,62622,919,1960s,2001: A Space Odyssey
Where Eagles Dare,1968,3,0.0,65207,1185,1960s,Where Eagles Dare
Romeo and Juliet,1968,3,0.0,63518,1249,1960s,Romeo and Juliet
Yellow Submarine,1968,0,0.0,63823,1815,1960s,Yellow Submarine
Star!,1968,3,0.0,63642,2092,1960s,Star!
Hellfighters,1968,2,0.0,63060,2104,1960s,Hellfighters
Barbarella,1968,3,0.0,62711,2157,1960s,Barbarella
Once Upon a Time in the West,1968,1,0.0,64116,2226,1960s,Once Upon a Time in the West
"Party, The",1968,3,0.0,63415,2652,1960s,The Party
"Lion in Winter, The",1968,3,0.0,63227,2749,1960s,The Lion in Winter
If....,1968,1,0.0,63850,2757,1960s,If....
Head,1968,0,0.0,63049,2925,1960s,Head
Hang &#39;Em High,1968,2,0.0,61747,2969,1960s,Hang &#39;Em High
Night of the Living Dead,1968,3,0.0,63350,3499,1960s,Night of the Living Dead
Carry On... Up the Khyber,1968,3,1.0,62782,3626,1960s,Carry On... Up the Khyber
Up the Junction,1968,3,0.0,62426,3826,1960s,Up the Junction
"Bride Wore Black, The",1968,3,0.0,61955,3878,1960s,The Bride Wore Black
Asterix et Cleopatre,1968,0,0.0,62687,3947,1960s,Asterix et Cleopatre
Funny Girl,1968,3,0.0,62994,4045,1960s,Funny Girl
"Killing of Sister George, The",1968,3,0.0,63185,5385,1960s,The Killing of Sister George
Hour of the Wolf,1968,1,0.0,63759,5878,1960s,Hour of the Wolf
Destroy All Monsters,1968,0,0.0,63172,6394,1960s,Destroy All Monsters
Il giorno della civetta,1968,0,0.0,63010,6452,1960s,Il giorno della civetta
Gamera vs. Viras,1968,2,0.0,63000,6807,1960s,Gamera vs. Viras
Bullitt,1968,1,0.0,62765,7123,1960s,Bullitt
Reconstruction,1968,0,0.0,63493,7673,1960s,Reconstruction
Ice Station Zebra,1968,0,0.0,63121,7986,1960s,Ice Station Zebra
Dracula Has Risen from the Grave,1968,2,1.0,62909,8289,1960s,Dracula Has Risen from the Grave
"Boys of Paul Street, The",1968,0,0.0,62164,8542,1960s,The Boys of Paul Street
Egri csillagok,1968,1,0.0,62925,8543,1960s,Egri csillagok
"Cat Has Nine Lives, The",1968,3,1.0,130141,8686,1960s,The Cat Has Nine Lives
"Wrecking Crew, The",1968,3,0.0,65225,8827,1960s,The Wrecking Crew
Chitty Chitty Bang Bang,1968,3,0.0,62803,9547,1960s,Chitty Chitty Bang Bang
"Today We Kill, Tomorrow We Die!",1968,0,0.0,63379,9556,1960s,"Today We Kill, Tomorrow We Die!"
Oliver!,1968,2,0.0,63385,9595,1960s,Oliver!
"Valley of Death, The",1968,0,0.0,63818,9693,1960s,The Valley of Death
"Django, Prepare a Coffin",1968,0,0.0,62151,9707,1960s,"Django, Prepare a Coffin"
"Rape of the Vampire, The",1968,3,0.0,62446,9764,1960s,The Rape of the Vampire
Women in Love,1969,3,0.0,66579,1426,1960s,Women in Love
"Honeymoon Killers, The",1969,3,0.0,64437,1182,1960s,The Honeymoon Killers
Support Your Local Sheriff!,1969,1,0.0,65051,1100,1960s,Support Your Local Sheriff!
My Side of the Mountain,1969,1,0.0,64708,1783,1960s,My Side of the Mountain
Paint Your Wagon,1969,2,0.0,64782,1817,1960s,Paint Your Wagon
Butch Cassidy and the Sundance Kid,1969,1,0.0,64115,2077,1960s,Butch Cassidy and the Sundance Kid
Easy Rider,1969,1,0.0,64276,2079,1960s,Easy Rider
"Computer Wore Tennis Shoes, The",1969,1,0.0,65566,2091,1960s,The Computer Wore Tennis Shoes
Downhill Racer,1969,0,0.0,64253,2283,1960s,Downhill Racer
"Prime of Miss Jean Brodie, The",1969,3,0.0,64840,2456,1960s,The Prime of Miss Jean Brodie
"Italian Job, The",1969,1,0.0,64505,2583,1960s,The Italian Job
Chastity,1969,0,0.0,64156,2586,1960s,Chastity
Kes,1969,1,0.0,64541,2722,1960s,Kes
True Grit,1969,3,0.0,65126,2902,1960s,True Grit
Alice&#39;s Restaurant,1969,1,0.0,64002,2899,1960s,Alice&#39;s Restaurant
Midnight Cowboy,1969,1,0.0,64665,3406,1960s,Midnight Cowboy
Mississippi Mermaid,1969,3,0.0,64990,3880,1960s,Mississippi Mermaid
Army of Shadows,1969,0,0.0,64040,4350,1960s,Army of Shadows
On Her Majesty&#39;s Secret Service,1969,2,0.0,64757,4669,1960s,On Her Majesty&#39;s Secret Service
"Hello, Dolly!",1969,3,0.0,64418,4755,1960s,"Hello, Dolly!"
"Godzilla&#39;s Revenge (Godzilla, Minira, Gabara: All Monsters Attack)",1969,0,0.0,64373,6396,1960s,"Godzilla&#39;s Revenge (Godzilla, Minira, Gabara: All Monsters Attack)"
"They Shoot Horses, Don&#39;t They?",1969,1,1.0,65088,6794,1960s,"They Shoot Horses, Don&#39;t They?"
Age of Consent,1969,3,0.0,63991,6816,1960s,Age of Consent
Take the Money and Run,1969,1,0.0,65063,7288,1960s,Take the Money and Run
Z,1969,1,0.0,65234,7521,1960s,Z
My Night at Maud&#39;s,1969,3,0.0,64612,7924,1960s,My Night at Maud&#39;s
"Passion of Anna, The",1969,1,1.0,64793,8266,1960s,The Passion of Anna
"Swimming Pool, The",1969,3,0.0,64816,9202,1960s,The Swimming Pool
Django the Bastard,1969,0,0.0,64240,9708,1960s,Django the Bastard
Marquis de Sade&#39;s Justine,1969,3,0.0,62870,9762,1960s,Marquis de Sade&#39;s Justine
Le Cercle Rouge,1970,0,,65531,255,1970s,Le Cercle Rouge
Beyond the Valley of the Dolls,1970,3,0.0,65466,583,1970s,Beyond the Valley of the Dolls
"AristoCats, The",1970,3,0.0,65421,1122,1970s,The AristoCats
Santa Clause is Comin&#39; to Town,1970,1,0.0,66327,1726,1970s,Santa Clause is Comin&#39; to Town
"Phantom Tollbooth, The",1970,1,0.0,64806,1932,1970s,The Phantom Tollbooth
Two Mules for Sister Sara,1970,3,0.0,65134,2428,1970s,Two Mules for Sister Sara
Deep End,1970,1,0.0,66122,2571,1970s,Deep End
"Vampire Lovers, The",1970,3,0.0,66518,2602,1970s,The Vampire Lovers
Bambule,1970,3,0.0,65449,2634,1970s,Bambule
Five Easy Pieces,1970,3,0.0,65724,2984,1970s,Five Easy Pieces
Love Story,1970,1,0.0,66011,3302,1970s,Love Story
Carry It On,1970,3,0.0,188484,3514,1970s,Carry It On
Les novices,1970,3,0.0,66164,3537,1970s,Les novices
"Boys in the Band, The",1970,0,0.0,65488,3681,1970s,The Boys in the Band
Scars of Dracula,1970,1,0.0,67713,4201,1970s,Scars of Dracula
Taste the Blood of Dracula,1970,3,0.0,65073,4237,1970s,Taste the Blood of Dracula
House of Dark Shadows,1970,2,1.0,65856,4340,1970s,House of Dark Shadows
Airport,1970,3,0.0,65377,4801,1970s,Airport
"Music Lovers, The",1970,1,0.0,66109,5484,1970s,The Music Lovers
"Conformist, The",1970,3,0.0,65571,5512,1970s,The Conformist
Darling Lili,1970,3,1.0,65611,6274,1970s,Darling Lili
Colossus: The Forbin Project,1970,0,0.0,64177,6605,1970s,Colossus: The Forbin Project
"Nachts, wenn Dracula erwacht",1970,1,0.0,65569,7057,1970s,"Nachts, wenn Dracula erwacht"
Dodes&#39;ka-den,1970,3,0.0,65649,7169,1970s,Dodes&#39;ka-den
Tristana,1970,2,1.0,66491,7559,1970s,Tristana
Donkey Skin,1970,3,0.0,66207,7599,1970s,Donkey Skin
Little Big Man,1970,1,0.0,65988,7753,1970s,Little Big Man
Waterloo,1970,0,0.0,66549,7907,1970s,Waterloo
Claire&#39;s Knee,1970,3,0.0,65772,7923,1970s,Claire&#39;s Knee
Tora! Tora! Tora!,1970,1,0.0,66473,8322,1970s,Tora! Tora! Tora!
"Things of Life, The",1970,1,0.0,64165,8429,1970s,The Things of Life
Catch-22,1970,3,0.0,65528,8774,1970s,Catch-22
"Railway Children, The",1970,3,0.0,66279,9048,1970s,The Railway Children
Wanda,1970,3,1.0,67961,9082,1970s,Wanda
They Call Me Trinity,1970,2,0.0,67355,9380,1970s,They Call Me Trinity
Pippi in the South Seas,1970,3,0.0,66227,9386,1970s,Pippi in the South Seas
Rio Lobo,1970,1,0.0,66301,9578,1970s,Rio Lobo
Patton,1970,1,0.0,66206,9594,1970s,Patton
Italian Stallion,1970,3,0.0,65904,9828,1970s,Italian Stallion
Le Boucher,1970,1,0.0,64106,9994,1970s,Le Boucher
Walkabout,1971,1,,67959,239,1970s,Walkabout
Willy Wonka &amp; the Chocolate Factory,1971,2,,67992,304,1970s,Willy Wonka &amp; the Chocolate Factory
THX 1138,1971,0,0.0,66434,626,1970s,THX 1138
A Clockwork Orange,1971,1,0.0,66921,1039,1970s,A Clockwork Orange
"Million Dollar Duck, The",1971,1,0.0,66728,1123,1970s,The Million Dollar Duck
Taking Off,1971,3,0.0,67820,1457,1970s,Taking Off
