title,year,rating,dubious,imdbid,id,década,title
Barque sortant du port,1895,0,0.0,16,9787,1890s,Barque sortant du port
"House of the Devil, The",1896,0,0.0,91,4982,1890s,The House of the Devil
Une nuit terrible,1896,0,0.0,131,5406,1890s,Une nuit terrible
La fee aux choux,1896,0,0.0,223341,5445,1890s,La fee aux choux
"Arrival of a Train, The",1896,0,0.0,12,6199,1890s,The Arrival of a Train
Sandow,1896,0,0.0,1428455,9672,1890s,Sandow
Alger: rue Bab-Azoun,1896,0,0.0,1672718,9949,1890s,Alger: rue Bab-Azoun
Lassage des boeufs pour le labour,1896,0,0.0,1736599,9950,1890s,Lassage des boeufs pour le labour
Lancement d&#39;un navire,1896,0,0.0,222137,9901,1890s,Lancement d&#39;un navire
Bataille de neige,1897,0,0.0,41,9328,1890s,Bataille de neige
Four Heads Are Better Than One,1898,0,0.0,135696,4978,1890s,Four Heads Are Better Than One
"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898,0,0.0,211,5410,1890s,"The Astronomer&#39;s Dream; or, The Man in the Moon"
"Temptation of St. Anthony, The",1898,0,0.0,224240,5411,1890s,The Temptation of St. Anthony
A Turn of the Century Illusionist,1899,0,0.0,246,4994,1890s,A Turn of the Century Illusionist
Cinderella,1899,3,0.0,230,5914,1890s,Cinderella
Sherlock Holmes Baffled,1900,0,0.0,291476,1594,1900s,Sherlock Holmes Baffled
"Enchanted Drawing, The",1900,0,0.0,300,4271,1900s,The Enchanted Drawing
Grandma&#39;s Reading Glass,1900,0,0.0,304,4343,1900s,Grandma&#39;s Reading Glass
As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900,0,0.0,272,4344,1900s,As Seen Through A Telescope (a.k.a The Professor and His Field Glass)
Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900,0,0.0,257654,4345,1900s,Explosion of a Motor Car (a.k.a The Dlights of Automobiling)
Hamlet ( Le Duel d&#39;Hamlet),1900,0,0.0,306,4346,1900s,Hamlet ( Le Duel d&#39;Hamlet)
"One-Man Band, The",1900,0,0.0,135453,4993,1900s,The One-Man Band
Grandma Threading Her Needle,1900,0,0.0,377995,5069,1900s,Grandma Threading Her Needle
"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,0,0.0,230746,5072,1900s,"Searching Ruins on Broadway, Galveston, for Dead Bodies"
Let Me Dream Again,1900,0,0.0,313,5438,1900s,Let Me Dream Again
"Doctor and the Monkey, The",1900,0,0.0,227438,5446,1900s,The Doctor and the Monkey
L&#39;homme a la tete en caoutchouc,1901,0,0.0,359,4995,1900s,L&#39;homme a la tete en caoutchouc
Reve et realite,1901,0,0.0,258104,5437,1900s,Reve et realite
Bluebeard,1901,0,0.0,131934,5500,1900s,Bluebeard
Le voyage dans la lune,1902,0,0.0,417,1252,1900s,Le voyage dans la lune
Gulliver&#39;s Travels,1902,0,0.0,229024,5431,1900s,Gulliver&#39;s Travels
"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902,0,0.0,367177,5432,1900s,"The Twentieth Century Tramp; or, Happy Hooligan and His Airship"
Mephistopheles&#39; School of Magic,1902,0,0.0,413,5443,1900s,Mephistopheles&#39; School of Magic
"Great Train Robbery, The",1903,0,0.0,439,1319,1900s,The Great Train Robbery
"Infernal Boiling Pot, The",1903,0,0.0,135180,5002,1900s,The Infernal Boiling Pot
"Music Lover, The",1903,0,0.0,455,5063,1900s,The Music Lover
"Monster, The",1903,0,0.0,223755,5064,1900s,The Monster
"Enchanted Well, The",1903,0,0.0,189498,5683,1900s,The Enchanted Well
"Cook in Trouble, The",1904,0,0.0,215664,5224,1900s,The Cook in Trouble
"Living Playing Cards, The",1904,0,0.0,135179,5404,1900s,The Living Playing Cards
"Untamable Whiskers, The",1904,0,0.0,135631,5601,1900s,The Untamable Whiskers
Le voyage a travers l&#39;impossible,1904,0,0.0,499,6135,1900s,Le voyage a travers l&#39;impossible
"Scheming Gambler&#39;s Paradise, The",1905,0,0.0,135690,5003,1900s,The Scheming Gambler&#39;s Paradise
"Black Imp, The",1905,0,0.0,215575,5602,1900s,The Black Imp
"Story of the Kelly Gang, The",1906,1,0.0,574,1349,1900s,The Story of the Kelly Gang
"Mysterious Retort, The",1906,0,0.0,216016,5024,1900s,The Mysterious Retort
Humorous Phases of Funny Faces,1906,0,0.0,554,5435,1900s,Humorous Phases of Funny Faces
"Hilarious Posters, The",1906,0,0.0,135122,5603,1900s,The Hilarious Posters
"400 Tricks of the Devil, The",1906,0,0.0,567,5684,1900s,The 400 Tricks of the Devil
A Funny Shave,1906,0,0.0,449172,6206,1900s,A Funny Shave
"Consequence of Feminism, The",1906,0,0.0,1260944,7215,1900s,The Consequence of Feminism
"Eclipse: Courtship of the Sun and Moon, The",1907,0,0.0,215737,5223,1900s,The Eclipse: Courtship of the Sun and Moon
Good Glue Sticks,1907,0,0.0,215817,5615,1900s,Good Glue Sticks
Unusual Cooking,1908,0,0.0,1802750,6231,1900s,Unusual Cooking
"Princess Nicotine; or, The Smoke Fairy",1909,2,1.0,1009,4409,1900s,"Princess Nicotine; or, The Smoke Fairy"
"Devilish Tenant, The",1909,0,0.0,127948,5635,1900s,The Devilish Tenant
Le barometre de la fidelite,1909,1,0.0,277596,6211,1900s,Le barometre de la fidelite
Tilly the Tomboy Visits the Poor,1910,3,0.0,232821,1464,1910s,Tilly the Tomboy Visits the Poor
Mobilier fidele,1910,0,0.0,486978,4983,1910s,Mobilier fidele
A Trip to Mars,1910,0,0.0,1515725,5685,1910s,A Trip to Mars
Cleopatra,1912,2,0.0,2101,2003,1910s,Cleopatra
"Invaders, The",1912,0,0.0,2281,2005,1910s,The Invaders
Max and the Donkey,1912,0,0.0,277865,5357,1910s,Max and the Donkey
"Voyage of the Bourrichon Family, The",1913,0,0.0,3512,5364,1910s,The Voyage of the Bourrichon Family
Suspense,1913,0,0.0,3424,5915,1910s,Suspense
A Florida Enchantment,1914,2,1.0,3973,4457,1910s,A Florida Enchantment
"Birth of a Nation, The",1915,2,0.0,4972,1258,1910s,The Birth of a Nation
Gretchen the Greenhorn,1916,3,0.0,6745,2008,1910s,Gretchen the Greenhorn
Lady Windermere&#39;s Fan,1916,3,0.0,279914,2014,1910s,Lady Windermere&#39;s Fan
"Vagabond, The",1916,0,0.0,7507,5368,1910s,The Vagabond
Intolerance: Love&#39;s Struggle Throughout the Ages,1916,0,0.0,6864,5944,1910s,Intolerance: Love&#39;s Struggle Throughout the Ages
Snow White,1916,3,0.0,7361,7004,1910s,Snow White
A Tale of Two Cities,1917,3,0.0,8652,1981,1910s,A Tale of Two Cities
Rebecca of Sunnybrook Farm,1917,3,0.0,8499,1993,1910s,Rebecca of Sunnybrook Farm
"Poor Little Rich Girl, The",1917,3,0.0,8443,1994,1910s,The Poor Little Rich Girl
A Romance of the Redwoods,1917,0,0.0,8519,2015,1910s,A Romance of the Redwoods
"Raffles, the Amateur Cracksman",1917,2,1.0,8489,2019,1910s,"Raffles, the Amateur Cracksman"
Tarzan of the Apes,1918,3,0.0,9682,1996,1910s,Tarzan of the Apes
Stella Maris,1918,3,0.0,9652,2007,1910s,Stella Maris
Are Crooks Dishonest?,1918,0,0.0,8844,5441,1910s,Are Crooks Dishonest?
Ich mochte kein Mann sein,1918,3,1.0,10281,7108,1910s,Ich mochte kein Mann sein
When the Clouds Roll by,1919,3,1.0,10879,2018,1910s,When the Clouds Roll by
Broken Blossoms or The Yellow Man and the Girl,1919,0,0.0,9968,2588,1910s,Broken Blossoms or The Yellow Man and the Girl
"Cabinet of Dr. Caligari, The",1920,0,0.0,10323,1306,1920s,The Cabinet of Dr. Caligari
Pollyanna,1920,3,0.0,11588,1991,1920s,Pollyanna
Within Our Gates,1920,3,0.0,11870,5948,1920s,Within Our Gates
Orphans of the Storm,1921,3,0.0,12532,1263,1920s,Orphans of the Storm
"Kid, The",1921,0,0.0,12349,3945,1920s,The Kid
"Blot, The",1921,3,0.0,11979,4204,1920s,The Blot
K&ouml;rkarlen (The Phantom Carriage),1921,2,0.0,12364,5898,1920s,K&ouml;rkarlen (The Phantom Carriage)
"Nosferatu, eine Symphonie des Grauens",1922,2,0.0,13442,1307,1920s,"Nosferatu, eine Symphonie des Grauens"
"Phantom, The",1922,2,0.0,13496,1631,1920s,The Phantom
Nathan der Weise,1922,2,0.0,13428,1778,1920s,Nathan der Weise
"Man from Beyond, The",1922,1,0.0,13367,2001,1920s,The Man from Beyond
H&auml;xan: Witchcraft Through the Ages,1922,3,0.0,13257,3800,1920s,H&auml;xan: Witchcraft Through the Ages
"Paleface, The",1922,0,0.0,12543,5361,1920s,The Paleface
Nanook of the North,1922,1,0.0,13427,5901,1920s,Nanook of the North
Foolish Wives,1922,3,0.0,13140,5958,1920s,Foolish Wives
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,3,0.0,13086,5967,1920s,"Dr. Mabuse, der Spieler - Ein Bild der Zeit"
Safety Last!,1923,0,0.0,14429,1961,1920s,Safety Last!
Why Worry?,1923,0,0.0,14611,1967,1920s,Why Worry?
"Silent Command, The",1923,2,0.0,14469,1998,1920s,The Silent Command
La souriante Madame Beudet,1923,3,0.0,13626,5888,1920s,La souriante Madame Beudet
Our Hospitality,1923,0,0.0,14341,5949,1920s,Our Hospitality
A Woman of Paris,1923,2,0.0,14624,8947,1920s,A Woman of Paris
Die Nibelungen,1924,2,0.0,15175,1337,1920s,Die Nibelungen
Kriemhild&#39;s Revenge,1924,2,0.0,15174,1338,1920s,Kriemhild&#39;s Revenge
"Thief of Bagdad, The",1924,0,0.0,15400,1264,1920s,The Thief of Bagdad
Wild Oranges,1924,0,0.0,15498,1960,1920s,Wild Oranges
"Navigator, The",1924,0,0.0,15163,2009,1920s,The Navigator
Sherlock Jr.,1924,0,0.0,15324,2011,1920s,Sherlock Jr.
Girl Shy,1924,0,0.0,14945,2016,1920s,Girl Shy
Manhandled,1924,3,0.0,15116,2020,1920s,Manhandled
"Great White Silence, The",1924,0,0.0,1764657,2413,1920s,The Great White Silence
Help!,1924,0,0.0,13845,6209,1920s,Help!
Greed,1924,3,0.0,15881,8458,1920s,Greed
"Phantom of the Opera, The",1925,2,0.0,16220,1305,1920s,The Phantom of the Opera
Battleship Potemkin,1925,0,0.0,15648,1308,1920s,Battleship Potemkin
"Gold Rush, The",1925,0,0.0,15864,1309,1920s,The Gold Rush
Go West,1925,0,0.0,15863,1978,1920s,Go West
"Freshman, The",1925,0,0.0,15841,2012,1920s,The Freshman
Seven Chances,1925,0,1.0,16332,3077,1920s,Seven Chances
"Lost World, The",1925,2,1.0,16039,5514,1920s,The Lost World
"Big Parade, The",1925,2,0.0,15624,5962,1920s,The Big Parade
Stachka,1925,0,0.0,15361,5991,1920s,Stachka
"Temptress, The",1926,1,0.0,17449,1334,1920s,The Temptress
Flesh and the Devil,1926,1,0.0,16884,1260,1920s,Flesh and the Devil
"General, The",1926,0,0.0,17925,1310,1920s,The General
For Heaven&#39;s Sake,1926,0,0.0,16895,1966,1920s,For Heaven&#39;s Sake
So&#39;s Your Old Man,1926,3,0.0,17410,3217,1920s,So&#39;s Your Old Man
Die Abenteuer des Prinzen Achmed,1926,1,0.0,15532,5974,1920s,Die Abenteuer des Prinzen Achmed
It,1927,3,0.0,18033,1227,1920s,It
Metropolis,1927,1,0.0,17136,1267,1920s,Metropolis
Abel Gance&#39;s Napoleon,1927,2,0.0,18192,1312,1920s,Abel Gance&#39;s Napoleon
"Unknown, The",1927,0,0.0,18528,1311,1920s,The Unknown
Sunrise: A Song of Two Humans,1927,2,0.0,18455,1632,1920s,Sunrise: A Song of Two Humans
"Kid Brother, The",1927,0,0.0,18051,1964,1920s,The Kid Brother
Nevada,1927,0,0.0,18199,1982,1920s,Nevada
My Best Girl,1927,3,0.0,18183,2010,1920s,My Best Girl
Wings,1927,1,0.0,18578,3118,1920s,Wings
"Jazz Singer, The",1927,1,0.0,18037,5975,1920s,The Jazz Singer
Downhill [When Boys Leave Home],1927,1,0.0,17825,7324,1920s,Downhill [When Boys Leave Home]
"Passion of Joan of Arc, The",1928,0,0.0,19254,1314,1920s,The Passion of Joan of Arc
Speedy,1928,0,0.0,19412,1963,1920s,Speedy
"Circus, The",1928,0,0.0,18773,1968,1920s,The Circus
"Cameraman, The",1928,0,0.0,18742,1970,1920s,The Cameraman
"Steamboat Bill, Jr.",1928,0,0.0,19421,1971,1920s,"Steamboat Bill, Jr."
"Racket, The",1928,0,0.0,19304,1972,1920s,The Racket
Beggars of Life,1928,0,0.0,18684,1977,1920s,Beggars of Life
"Power of the Press, The",1928,1,0.0,19290,1979,1920s,The Power of the Press
A Girl in Every Port,1928,0,0.0,18937,1980,1920s,A Girl in Every Port
"Patsy, The",1928,3,0.0,19258,2013,1920s,The Patsy
